claim_id;Event_type;Period_EvCl;Period_StEv;Policy_agent_cat;Owner_type;FLAG_Owner_bl;Insurer_type;FLAG_Insurer_bl;Policy_KBM;Policy_KS;Policy_KT;Policy_KVS;FLAG_Policy_KO;FLAG_Policy_KP;FLAG_Policy_KPR;FLAG_Policy_type;VEH_age;VEH_aim_use;VEH_capacity_type;VEH_model;VEH_type_name;FLAG_bad_region;FLAG_dsago;FLAG_prolong;Owner_region;Sales_channel;Policy_loss_count;Damage_count;bad;Claim_type;FLAG_trial
4892/PVU/00255/17;ПВУ СП;6;287;0,099483922412639;Физическое Лицо;0;Физическое Лицо;0;1;1;1,3;1;1;1;0;0;11;Личные;5;SUBARU FORESTER;Легковой;0;0;0;Республика Бурятия;Фронт-офис;0;1;0;1;0
6692/PVU/00306/17;ПВУ СП;3;243;0,029257058593802;Физическое Лицо;0;Физическое Лицо;0;0,95;0,5;0,7;1;0;1;0;1;10;Личные;5;TOYOTA CALDINA;Легковой;0;0;0;Забайкальский край;Агенты и РБ;0;1;0;0;0
5802/PVU/00074/17;ПВУ СП;27;220;0,086163257068502;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1;0;1;0;0;2;Личные;5;HYUNDAI IX35;Легковой;0;0;0;Омская область;Агенты и РБ;1;1;0;0;0
5644/PVU/00590/17;ПВУ СП;21;224;0,12309782887034;Физическое Лицо;0;Физическое Лицо;0;1;0,5;1,7;1;1;1;0;1;11;Личные;3;SUBARU IMPREZA;Легковой;0;0;0;Новосибирская область;Агенты и РБ;1;1;0;0;0
6592/PVU/00746/17;ПВУ СП;2;235;0,089141163926216;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,6;1;0;1;0;1;3;Личные;4;VOLKSWAGEN POLO;Легковой;0;0;1;Самарская область;Автодилеры;0;1;0;0;0
3692/PVU/00445/17;ПВУ СП;2;241;0,024282841576242;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;11;Личные;3;ВАЗ 21074;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
8201/PVU/00054/17;ПВУ СП;4;229;0,05311671260303;Физическое Лицо;0;Физическое Лицо;0;0,7;1;0,9;1;0;1;0;0;32;Личные;3;TOYOTA CAMRY;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;2;0
3792/133/00297/17;Классика;6;223;0,063602607279573;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,4;1,6;0;1;0;0;0;Личные;4;LADA VESTA;Легковой;0;0;0;Астраханская область;Фронт-офис;0;2;0;0;0
4392/133/01666/17;Классика;18;209;0,072320678732599;Физическое Лицо;0;Физическое Лицо;0;0,8;1;1,8;1;0;1;0;0;6;Личные;5;FORD FOCUS;Легковой;0;0;0;Свердловская область;Фронт-офис;0;1;0;0;0
4392/133/01674/17;Классика;1;220;0,1246387783292;Физическое Лицо;0;Физическое Лицо;0;1;1;1,8;1;0;1;0;0;11;Личные;5;HYUNDAI ACCENT;Легковой;0;0;0;Свердловская область;Агенты и РБ;1;1;0;0;0
9392/PVU/00273/17;ПВУ СП;72;142;0,090834435253698;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;1;1;0;0;3;Личные;6;TOYOTA RAV4;Легковой;0;0;0;Республика Коми;Агенты и РБ;0;1;0;0;1
3606/133/00123/17;Классика;6;200;0,040881706294965;Физическое Лицо;1;Физическое Лицо;1;1;1;1,2;1;1;1;0;0;24;Личные;5;УАЗ 3151;Легковой;1;0;0;Краснодарский край;Агенты и РБ;1;2;0;2;0
Z692/133/09792/17;Классика;44;164;0,18356343337326;Физическое Лицо;0;Физическое Лицо;0;1;1;1,3;1;0;1;0;0;16;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;0;Волгоградская область;Агенты и РБ;0;1;0;0;0
6702/PVU/00061/17;ПВУ СП;70;122;0,055525733411988;Юридическое Лицо;0;Юридическое Лицо;0;1;1;1,2;1;1;1;0;0;3;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой более 16;1;0;0;Саратовская область;Агенты и РБ;0;1;0;0;0
6592/PVU/00747/17;ПВУ СП;6;195;0,14958329912313;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,6;1;0;1;0;1;12;Личные;6;VOLVO XC90;Легковой;0;0;0;Самарская область;Автодилеры;0;1;0;0;0
3692/133/00951/17;Классика;32;143;0,024282841576242;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;0;1;0;0;26;Личные;5;BMW 520;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;2;1
8292/133/00813/17;Классика;2;164;0,05311671260303;Физическое Лицо;0;Физическое Лицо;0;1;1;0,9;1;0;1;0;0;30;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;0;0
4691/133/00053/17;Классика;6;153;0,13429909833188;Юридическое Лицо;0;ПБОЮЛ;0;1;1;0,9;1;1;1;0;0;0;Личные;6;AUDI A6;Легковой;1;0;0;Ивановская область;Собственные продажи;0;2;1;0;0
4932/PVU/00390/17;ПВУ СП;8;156;0,13174243465982;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,1;1;0;1;0;0;2;Личные;5;KIA CERATO;Легковой;1;0;0;Республика Татарстан (Татарстан);Агенты и РБ;0;1;0;0;0
5892/PVU/01132/17;ПВУ СП;16;138;0,086709080271337;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1;1;1;0;0;9;Личные;6;HONDA LEGEND;Легковой;0;0;0;Омская область;Фронт-офис;0;1;0;0;1
3692/PVU/00446/17;ПВУ СП;47;98;0,030955474275127;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;1;5;Личные;4;FORD FOCUS;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;1
7905/133/00179/17;Классика;3;105;0,11687245321355;Физическое Лицо;0;Физическое Лицо;0;0,5;1;1,7;1;0;1;0;1;6;Личные;6;VOLKSWAGEN TOUAREG;Легковой;0;0;1;Московская область;Агенты и РБ;0;1;0;0;0
4192/133/00239/17;Классика;3;113;0,13459066503569;Физическое Лицо;0;Физическое Лицо;0;1;1;1,3;1;1;1;0;0;0;Личные;4;LADA GRANTA;Легковой;1;0;0;Волгоградская область;Автодилеры;0;1;1;0;0
5492/PVU/00251/17;ПВУ СП;8;102;0,11427468572661;Физическое Лицо;0;Физическое Лицо;0;0,75;1;1,8;1;0;1;0;0;3;Личные;6;MITSUBISHI OUTLANDER;Легковой;1;0;0;Нижегородская область;Агенты и РБ;0;1;0;0;0
Z692/PVU/00385/17;ПВУ СП;6;116;0,14922006656984;Физическое Лицо;0;Физическое Лицо;0;1;1;0,7;1;1;1;0;0;11;Личные;3;SUBARU IMPREZA;Легковой;1;0;0;Волгоградская область;Агенты и РБ;0;1;0;0;1
5692/PVU/00184/17;ПВУ СП;27;77;0,101269465482;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;0;1;0;0;4;Личные;6;MERCEDES-BENZ C 180;Легковой;0;0;0;Новосибирская область;Автодилеры;0;1;0;0;0
5806/PVU/00045/17;ПВУ СП;17;84;0,10140316271592;Физическое Лицо;1;Физическое Лицо;1;0,95;1;1,6;1;0;1;0;0;20;Личные;5;MERCEDES-BENZ E 230;Легковой;0;0;0;Омская область;Агенты и РБ;0;1;0;0;1
5641/PVU/00572/17;ПВУ СП;1;93;0,11309715974918;Физическое Лицо;0;Физическое Лицо;0;0,95;0,7;1,7;1;1;1;0;0;9;Личные;6;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
W892/PVU/00053/17;ПВУ СП;5;80;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,8;1;0;1;0;0;6;Личные;6;BMW 320;Легковой;1;0;0;Республика Северная Осетия-Алания;Прочие;0;1;1;0;1
3692/PVU/00443/17;ПВУ СП;10;66;0,018331842735975;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;19;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
6792/PVU/00306/17;ПВУ СП;11;58;0,060659212416387;Физическое Лицо;0;Физическое Лицо;0;1;1;1,2;1;0;1;0;0;5;Личные;6;NISSAN TEANA;Легковой;1;0;0;Саратовская область;Автодилеры;0;1;1;2;1
4932/PVU/00391/17;ПВУ СП;8;60;0,12075376151972;Физическое Лицо;0;Физическое Лицо;0;1;1;1,1;1;1;1;0;0;1;Личные;5;KIA CEED;Легковой;1;0;0;Республика Татарстан (Татарстан);Агенты и РБ;0;1;1;0;1
3692/PVU/00442/17;ПВУ СП;7;51;0,018331842735975;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;9;Личные;3;VOLKSWAGEN POLO;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
W492/PVU/00048/17;ПВУ СП;59;4;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,3;1;0;1;0;0;11;Личные;2;CHEVROLET SPARK;Легковой;0;0;0;Республика Адыгея;Прочие;0;1;0;0;0
5460/PVU/00055/17;ПВУ СП;3;46;0,10562797188993;Физическое Лицо;0;Физическое Лицо;0;1;1;1,1;1;0;1;0;1;5;Личные;4;MAZDA 3;Легковой;1;0;0;Нижегородская область;Автодилеры;0;1;0;0;0
0305/133/00001/17;Классика;19;31;0,051589362654632;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;1;1;0;0;16;Личные;5;CHRYSLER VOYAGER;Легковой;0;0;0;Московская область;Агенты и РБ;0;2;0;0;0
5892/PVU/01163/17;ПВУ СП;6;35;0,086163257068502;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,6;1;0;1;0;0;7;Личные;5;KIA CERATO;Легковой;0;0;1;Омская область;Агенты и РБ;0;1;0;2;0
9492/PVU/00152/17;ПВУ СП;2;32;0,082167780008365;Физическое Лицо;0;Физическое Лицо;0;1;1;0,8;1;0;1;0;0;9;Личные;3;CHEVROLET LANOS;Легковой;0;0;0;Республика Карелия;Фронт-офис;0;1;0;0;0
8092/133/00231/17;Классика;21;7;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;3;Личные;5;NISSAN X-TRAIL;Легковой;1;0;0;Ростовская область;Прочие;0;1;0;1;0
R692/PVU/00043/17;ПВУ СП;5;22;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,7;1;0;1;0;0;5;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Кабардино-Балкарская Республика;Прочие;0;1;0;0;0
5892/133/01301/17;Классика;14;12;0,097897275795074;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1;1;1;0;0;16;Личные;5;ГАЗ 3110;Легковой;0;0;0;Омская область;Агенты и РБ;0;2;0;0;1
6092/PVU/00061/17;ПВУ СП;13;3;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;1;1;0,7;1;1;1;0;0;9;Личные;4;HYUNDAI ELANTRA;Легковой;0;0;0;Пензенская область;Прочие;0;1;0;2;0
4392/PVU/01317/17;ПВУ СП;9;5;0,072320678732599;Физическое Лицо;0;Физическое Лицо;0;0,85;1;1,2;1;0;1;0;0;8;Личные;6;SUBARU LEGACY;Легковой;0;0;0;Свердловская область;Фронт-офис;0;1;1;0;0
3606/PVU/00094/17;ПВУ СП;5;8;0,040881706294965;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;11;Личные;3;MITSUBISHI LANCER;Легковой;1;0;1;Краснодарский край;Агенты и РБ;0;1;0;0;0
4192/PVU/00131/17;ПВУ СП;5;7;0,086480679916855;Физическое Лицо;0;Физическое Лицо;0;0,5;1;1,1;1;0;1;0;0;3;Личные;5;HYUNDAI SOLARIS;Легковой;1;0;1;Волгоградская область;Автодилеры;0;1;0;2;0
R692/PVU/00042/17;ПВУ СП;21;11;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;1;1;0;0;15;Личные;3;MITSUBISHI COLT;Легковой;0;0;0;Кабардино-Балкарская Республика;Прочие;0;1;0;2;1
5612/PVU/00889/17;ПВУ СП;10;10;0,091119954538431;Физическое Лицо;0;Физическое Лицо;0;0,6;1;1,7;1;0;1;0;0;12;Личные;6;SUBARU LEGACY;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
3692/PVU/00441/17;ПВУ СП;1;6;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;7;Личные;5;OPEL ASTRA;Легковой;1;0;0;Краснодарский край;Прочие;0;1;0;0;0
4192/133/00236/17;Классика;1;6;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;1;1;1,3;1;0;1;0;0;28;Личные;2;ВАЗ 21063;Легковой;1;0;0;Волгоградская область;Прочие;0;2;1;0;1
5492/PVU/00246/17;ПВУ СП;4;5;0,046726350062608;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;1;5;Личные;4;NISSAN JUKE;Легковой;1;0;0;Нижегородская область;Агенты и РБ;0;1;0;0;0
4932/PVU/00394/17;ПВУ СП;8;4;0,12075376151972;Физическое Лицо;0;Физическое Лицо;0;1,55;1;1,1;1;0;1;0;0;4;Личные;5;MAZDA 6;Легковой;1;0;0;Республика Татарстан (Татарстан);Агенты и РБ;0;1;1;0;0
0790/PVU/00696/17;ПВУ СП;3;11;0,044309471473483;Физическое Лицо;0;Физическое Лицо;0;1;1;0,9;1;0;1;0;0;6;Личные;4;PEUGEOT 308;Легковой;0;0;0;Ярославская область;Автодилеры;0;1;1;0;0
8023/133/00377/17;Классика;448;48;0;Физическое Лицо;1;Физическое Лицо;1;1;1;0,8;1;1;1;0;0;33;Личные;3;ВАЗ 2121 НИВА;Легковой;1;0;1;Ростовская область;Агенты и РБ;7;1;1;2;1
9592/PVU/00235/17;ПВУ СП;50;329;0,03945641134544;Физическое Лицо;0;Физическое Лицо;0;1;1;0,6;1;1;1;0;1;9;Личные;6;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Республика Дагестан;Агенты и РБ;0;1;0;0;0
S692/PVU/00103/17;ПВУ СП;0;362;0,055636410689498;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1;1;0;1;0;0;1;Личные;6;TOYOTA CAMRY;Легковой;0;0;0;Амурская область;Фронт-офис;0;1;0;0;0
0399/PVU/00309/17;ПВУ СП;14;355;0,088028869928948;Физическое Лицо;1;Физическое Лицо;1;1;1;2;1;0;1;0;0;3;Личные;6;BMW X5;Легковой;0;0;0;Москва;Агенты и РБ;1;1;0;0;1
0890/133/01951/17;Классика;6;365;;Физическое Лицо;0;Физическое Лицо;0;0,5;1;1,5;1;0;1;0;1;30;Личные;3;OPEL ASCONA;Легковой;1;0;0;Ульяновская область;Агенты и РБ;0;2;1;0;0
R692/133/00043/17;Классика;164;176;0,043968119422571;Физическое Лицо;0;Физическое Лицо;0;1;1;0,7;1;1;1;0;0;33;Регулярные/по заказам пассажирские перевозки;7;ДРУГОЕ ТС ДРУГОЕ ТС АВТОБУСЫ;Автобус такси;0;0;0;Кабардино-Балкарская Республика;Фронт-офис;0;2;0;1;1
6592/133/00715/17;Классика;6;327;0,071083324648469;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,6;1;1;1;0;0;1;Личные;5;MAZDA 6;Легковой;0;0;0;Самарская область;Фронт-офис;1;3;0;0;0
R392/PVU/00138/17;ПВУ СП;3;311;0,064591949549775;Физическое Лицо;0;Физическое Лицо;0;1;1;0,7;1;0;1;0;0;15;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;1;Алтайский край;Фронт-офис;0;1;0;0;0
0790/133/03391/17;Классика;2;334;0,044309471473483;Физическое Лицо;0;Физическое Лицо;0;0,95;1;0,9;1;1;1;0;0;16;Личные;2;ВАЗ 21099;Легковой;0;0;0;Ярославская область;Автодилеры;1;1;1;0;0
8992/133/00225/17;Классика;10;293;0,036837902685133;Физическое Лицо;0;Физическое Лицо;0;0,8;1;0,85;1;0;1;0;0;6;Личные;5;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;0;Архангельская область;Агенты и РБ;0;1;0;0;0
4933/PVU/00156/17;ПВУ СП;17;262;0,084264908506867;Физическое Лицо;0;Физическое Лицо;0;0,9;1;2;1;0;1;0;0;2;Личные;6;AUDI A6;Легковой;1;0;1;Республика Татарстан (Татарстан);Фронт-офис;0;1;0;0;1
9692/133/00221/17;Классика;2;304;0,066822841289459;Физическое Лицо;0;Физическое Лицо;0;1;1;0,8;1;1;1;0;0;24;Личные;3;УАЗ 3151;Легковой;1;0;0;Кировская область;Фронт-офис;1;1;0;0;0
3692/PVU/00370/17;ПВУ СП;10;281;0,027671858596482;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;29;Личные;4;AUDI 80;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;2;0
3692/133/00808/17;Классика;11;287;0,060531653217632;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,8;1;0;1;0;0;8;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;1;Ростовская область;Прочие;0;1;0;1;1
8023/133/00378/17;Классика;11;273;0,031025197355871;Физическое Лицо;0;Физическое Лицо;0;0,9;1;0,8;1;0;1;0;0;10;Личные;5;CHERY TIGGO;Легковой;1;0;0;Ростовская область;Агенты и РБ;0;1;0;2;0
3692/PVU/00369/17;ПВУ СП;30;254;0,024282841576242;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1;1;0;1;0;0;5;Личные;5;FORD FOCUS;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
4392/133/01506/17;Классика;4;275;0,098133613805388;Физическое Лицо;0;Физическое Лицо;0;0,8;1;1,8;1;0;1;0;0;5;Личные;4;ГАЗ ГАЗЕЛЬ (категория B);Легковой;0;0;0;Свердловская область;Агенты и РБ;1;2;0;2;1
7925/PVU/00278/17;ПВУ СП;14;270;0,070553875435942;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;0;1;0;0;12;Личные;6;AUDI A6;Легковой;0;0;0;Московская область;Агенты и РБ;0;1;0;0;0
5612/PVU/00801/17;ПВУ СП;18;225;0,089052144592178;Физическое Лицо;0;Физическое Лицо;0;0,9;0,5;1,7;1;0;1;0;1;5;Личные;6;NISSAN TEANA;Легковой;0;0;0;Новосибирская область;Агенты и РБ;0;1;0;0;0
5892/PVU/01019/17;ПВУ СП;73;154;0,086163257068502;Физическое Лицо;0;Физическое Лицо;0;0,8;1;1,6;1;0;1;0;0;9;Личные;4;MAZDA 3;Легковой;0;0;1;Омская область;Агенты и РБ;1;1;0;0;0
5649/133/00242/17;Классика;21;217;0,25950357565103;Физическое Лицо;1;Физическое Лицо;1;0,6;1;1,7;1;0;1;0;1;28;Личные;7;КАМАЗ 5511;Грузовой более 16;0;0;0;Новосибирская область;Агенты и РБ;1;1;1;0;0
6192/PVU/00538/17;ПВУ СП;5;218;0,065888205618669;Физическое Лицо;0;Физическое Лицо;0;0,9;0,7;2;1;0;1;0;1;8;Личные;6;LEXUS IS;Легковой;0;0;0;Пермская область;Фронт-офис;0;1;0;0;0
0804/PVU/00360/17;ПВУ СП;23;204;0,094301424164315;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;1;1;0;0;5;Личные;6;PEUGEOT 4007;Легковой;0;0;0;Московская область;Агенты и РБ;0;1;0;0;0
4392/133/01504/17;Классика;3;206;0,060499115885734;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,8;1;0;1;0;0;8;Личные;6;TOYOTA LAND CRUISER;Легковой;0;0;0;Свердловская область;Агенты и РБ;0;2;0;2;1
S492/PVU/00179/17;ПВУ СП;16;180;0,099886976428786;Физическое Лицо;0;Физическое Лицо;0;1;1;2,1;1;0;1;0;1;1;Личные;4;RENAULT LOGAN;Легковой;1;0;0;Мурманская область;Фронт-офис;1;1;1;1;0
0325/133/00501/17;Классика;16;161;0,45368050477323;Юридическое Лицо;0;Юридическое Лицо;0;0,95;1;2;1;1;1;0;0;5;Прочие;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой более 16;0;0;1;Москва;Собственные продажи;0;1;0;0;1
7792/133/00254/17;Классика;19;150;0,061588246359559;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;0;1;0;1;3;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ (BE);Легковой;0;0;0;Чувашская Республика;Фронт-офис;0;1;0;0;0
3792/PVU/00209/17;ПВУ СП;6;159;0,063602607279573;Физическое Лицо;0;Физическое Лицо;0;1;1;1,4;1;0;1;0;0;6;Личные;6;BMW 325;Легковой;0;0;0;Астраханская область;Фронт-офис;1;1;0;0;1
7520/PVU/00051/17;ПВУ СП;7;160;0,054167446958425;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,1;1;0;1;0;1;7;Личные;6;AUDI A5;Легковой;0;0;0;Ямало-Ненецкий автономный округ;Агенты и РБ;0;1;0;0;0
8292/PVU/00442/17;ПВУ СП;3;163;0,05311671260303;Физическое Лицо;0;Физическое Лицо;0;1;1;0,9;1;0;1;0;0;8;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;0;0
0730/PVU/00829/17;ПВУ СП;7;155;0,072468584520341;Физическое Лицо;0;Физическое Лицо;0;1;1;2;1;1;1;0;0;3;Личные;6;JAGUAR XJ;Легковой;0;0;0;Москва;Агенты и РБ;1;1;0;0;0
6892/PVU/00263/17;ПВУ СП;1;152;0,05339552616087;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1;0;1;0;1;5;Личные;6;AUDI A5;Легковой;0;0;1;Московская область;Агенты и РБ;0;1;0;0;0
3692/133/00805/17;Классика;1;141;0,024282841576242;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;0;1;0;1;41;Личные;2;ВАЗ 2101;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;0;0
4932/PVU/00338/17;ПВУ СП;43;89;0,12020658523346;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1,1;1;0;1;0;0;2;Личные;4;MAZDA 3;Легковой;1;0;0;Республика Татарстан (Татарстан);Агенты и РБ;0;1;0;0;0
0730/PVU/00808/17;ПВУ СП;18;117;0,099872481950401;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,7;1;0;1;0;0;9;Личные;5;HONDA CIVIC;Легковой;0;0;0;Московская область;Агенты и РБ;0;1;0;0;0
3692/133/00807/17;Классика;4;110;0,018331842735975;Физическое Лицо;0;Физическое Лицо;0;0,9;1;1;1;0;1;0;0;9;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;1;0;0;Краснодарский край;Агенты и РБ;0;1;0;2;0
5891/133/00093/17;Классика;11;83;0,023867681397493;Юридическое Лицо;0;Юридическое Лицо;0;0,5;1;1,6;1;1;1;0;0;26;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой менее 16;0;0;1;Омская область;Собственные продажи;0;2;0;0;0
